name
Ahikōuka
Ahitītī
Akatārere
Ākiri
Ākitio
Ākura
Āniwaniwa
Āniwaniwa Falls
Ao-ata-te-pō
Aopōuri
Āpiti
Ārai Terraces
Arapārera
Āria
Ātaahua Gorge
Ātiamuri
Auahitōtara Kāinga
Auahitōtara Pā
Awapākura
Āwhitu
Āwhitu Central
Bay of Many Coves / Miritū Bay
Big Ōmaha
Calypso Bay / Ōtamarau Bay
Cape Kidnappers / Te Kauwae-a-Māui
Cape Kōamaru
Cape Palliser / Mātakitaki-a-Kupe
Cape Terāwhiti
Colac Bay/Ōraka
East Tākaka
East Tāmaki
East Tāmaki Heights
Eketāhuna
Franz Josef Glacier/Kā Roimata o Hine Hukatere
Hākinikini
Hāmama
Hāmua
Hamutīnui
Hāparangi
Hapopo kākāpō
Hāpuatuna Bay
Hāpuka Rock
Hauraki Gulf / Tīkapa Moana
Hautūterangi
Hāwea / Bligh Sound
Hāwea Flat
Hāwea Rock
Hāwera
Hīkoekoeā Bay
Hikukoekoeā
Hikutū Rock
Hīnau Flats
Hine Kōareare
Hinetāpeka Seamount
Hinewaikārara
Hiruhārama
Hītapa Bay
Hītaua Bay
Hīwera
Hōngaio Rock
Hōteo North
Hue tē Taka Peninsula
Hūkerenui
Hūnua
Hūnua Falls
Inainatū / Pile Bay
Kā Ara-a-Haereroa
Kahikatea Pā
Kāhuikākāpō
Kāhuitara
Kahukurī
Kahurānaki
Kā Huruhuru-o-koekoeā
Kaikai Pā
Kaikaitāhuna Bay
Kaikākā
Kaikākahi Bay
Kaikākāpō
Kaikōura
Kaikōura Bay
Kaikōura Canyon
Kaikōura Peninsula
Kaikūmera Bay
Kaimātaotao
Kaipākirikiri Bay
Kairākau
Kaitāia
Kākā
Kākaho Bay
Kākāmōria
Kā Kamu-a-Hakitekura
Kākānui
Kākā Nunatak
Kākāpō Bay
Kākāpō Nunatak
Kākāpō Spur
Kākāpōtahi Ecological Area
Kā Kārehu-o-te-ahi-o-Tamatea
Kākāriki
Kākātarahae
Kākaunui
Kakī Ponds
Kā Mauka-tokoweka
Kā Mauka Whakatipu
Kāmoanahaehae
Kā Onehuka
Kā One-o-Pukerehe
Kā Pākihi-whakatekateka-o-Waitaha
Kā Poupou-a-Rakihouia
Kā Poupou-a-Te-Rakihouia
Kā Pukehore
Kā Pukemāeroero
Kā Puketai
Kapūterangi
Karanga Tūī
Kā Rā-o-Takitimu
Karāpiro
Kāretu Seavalleys
Kārewarewa
Karihipōtae
Karitāne
Karitāne Canyon
Karu-hāpuku
Katiapā
Kāti Hāwea
Kātiki
Kāti Wairaki
Kā Tū-waewae-o-Tū
Kā Whata-Tū-o-Rakihouia
Kāwhia Bay
Kekerengū Bank
Kerepēhi
Kererūhuahua
Kererūrukaipō
Keretū
Kimiākau
Kōhaihai Bluff
Kōhaka Takahea
Kōhakaweka
Kōhaonui
Kōhatu
Kōhatupapā / Ranfurly Bay
Kōhinerākau
Kohinurākau
Kohunui Māori Settlement
Kōkakotaea
Kōkōariki
Kōkopunui
Kōkōtane
Kōkota / The Sandspit
Kōkōwhai Bay / Turners Bay
Ko-mate-kōhuru
Kōnini
Kōpū
Kōpua
Kōpuanui
Kōpuaranga
Kōpuaroa
Kōpuawhara Disaster 1938
Kōpukanui
Kōpūtai
Kororāreka Bay
Kōtoitoi Bay
Kōtuku
Kōtukutuku
Kōtukutuku Bay
Kōtukuwhakaoka
Kōura
Kōwhai
Kōwhairoa Peninsula
Kōwhai Seavalleys
Kōwhaiwhai
Kūaotunu
Kūaotunu West
Kumeū
Kuramātakitaki
Kurī
Kurī Banks
Kutupārera
Little Ōmaha Bay
Lower Kawhātau
Lower Paritū Basin
Māhaka Ponds
Māhanga Bay
Māhēipuku
Mahenokōhiku
Māhia
Māhia Canyon
Māhia Peninsula
Māhia Seamount
Māhina Bay
Māhoenui
Mahu-tōrea
Mākara
Mākaraka
Mākareao
Makatī
Maketū
Mākiri
Manapōuri
Manawahē
Manawatū-Whanganui Region
Mangamāunu
Mangarākau
Mangatārera o Te Whakatūrākau
Mangatāwhai
Mangatāwhiri
Mangatāwhiri Crossing
Mangatūtaekurī
Māngere
Māngere East
Māngere Falls
Mangōnui
Māniatoto
Manokīwai
Man-o-War Bay / Pāharakeke
Mānuka
Mānunutahi Bay
Manupīrua Bay
Manutūkē
Māori Bay
Māori Garden Bay
Māori Gully
Māori Rock
Māpiu
Māpiupiu
Māpouriki
Māpoutahi
Māpua
Mārahau
Marama Tāwhaua
Mārau
Mārima
Māriri
Martello Rock / Ruakōura
Mātaikōkako
Mātaikōtare
Mātaitai Bay
Matakā
Mātakitaki
Mātāpia
Matarāhui Bay
Matatā
Mataūira
Mātāwai
Mate ā-ongaonga
Mātiatia Bay
Matukutūruru
Mauīkatau
Maukakūkuta
Maunga-a-Kāhia
Maungahīha
Maunga Hirakimatā
Maunga Kākaramea
Maungapōhatu
Maungatūtū
Māwhera
Moanapākura
Moana-whenua-pōuri / Edwardson Sound
Moawhango Névé
Mōhakatino
Mōkau
Mōkau Bay
Mōkau Falls
Mōkauiti
Mokohīnau Canyon
Mōpānui
Mōrere
Mōrere Gully
Mōtītī Scarp
Mōtū
Mōtū Falls
Motu-o-Rūrū
Motutāhae
Mōtūwairaka
Mount Hāwea
Mount Kōpere
Mount Māhanga
Mount Ōhakiri
Mount Pūkākī
Mount Tūtoko
Mount Tūwhakarōria
Mourā Bay
Mūmū Nunatak
Muriwai Pā
Ngā Awapūrua
Ngāhape
Ngāhauā Bay
Ngāheretā Bay
Ngāhinapōuri
Ngā Hore
Ngā Huinga
Ngāihihiopoanga
Ngā Kai-hīnaki-a-Whata
Ngākawau Ecological Area
Ngā Kurī-a-Whārei
Ngākuta Bay
Ngāmahau Bay
Ngā Mātia
Ngāmimiro Bay
Ngāmoerangi
Ngāmotu
Ngā Pākihi-a-Māniarauhea
Ngā-pona-o-Tamatekapua
Ngāpōpōhia
Ngāpōtiki
Ngā Puha-ake-o-te-ora
Ngāpuka Bay
Ngā Rā-a-Kupe
Ngā Rimutāmaka
Ngāroto
Ngārua Caves
Ngāruawāhia
Ngaruroro Moko-tū-ā-raro ki Rangatira
Ngā Tai-i-whakatūria-e-Kupe-ki-te-marowhara
Ngātapa
Ngā-Taratara-o-Toi
Ngā Tārua
Ngātīmoti
Ngātohuahira
Ngātoro Basin
Ngātoro Canyon
Ngātoroirangi Seamount
Ngā Tuaitara-a-Taikehu
Ngā Turi-o-Murimotu
Ngāturuturu
Ngā Umukākāpō
Ngauotekākā
Ngā Waka-a-Kupe
Ngāwhakaraua
Ngāwhakatātara
Ngāwhakawhiti Bay
Ngā Whatukaiponu
Ngongotahā
Ngongotahā Valley
Ngūroa Bay
Nohotūroa
Nōpera
Nūhaka
Ōakura
Ōakura Bay
Ōākuramatapū
Ōamaru Bay
Ōananga Bay
Ōaro
Ōatua
Ōhaeawai
Ōhanui
Ōharuru
Ōhau
Ōhau Bay
Ōhau Gorge
Ōhauparuparu Bay
Ōhaupō
Ōhekeia
Ōhekia
Ōhinatara
Ōhineakai
Ōhinemutu
Ōhinepaka
Ōhinerau
Ōhinerau Bay
Ōhinerau / Mount Hobson
Ōhinetahi
Ōhinetaketake
Ōhingaiti
Ōhingaroa Bay
Ōhīrea
Ōhiriru
Ōhiwa
Ōhonu
Ōhope
Ōhoumata
Ōhura
Ōkahuatiu
Ōkahu Bay
Ōkahukura Peninsula
Ōkahutoroa Bay
Ōkaihae
Ōkaihau
Ōkākā
Ōkare
Ōkārito
Ōkaruru
Ōkato
Ōkawa Bay
Ōketeupoko
Ōkiritoto Falls
Okitū
Ōkiwi
Ōkiwi Bay
Ōkōrewa
Ōkoromai Bay
Ōkukari Bay
Ō-Kupe-Mai-Tawhiti
Ōkura
Ōkura Rock
Ōmaha
Ōmaha Bay
Ōmaha Ecological Area
Ōmaha Flats
Omāhu
Ōmāhungaiti Bay
Ōmāhuri
Ōmāī
Ōmakere Trough
Ōmakō
Ōmangaia Pā
Ōmanui
Ōmāpere
Ōmarama
Ōmārama
Ōmaru Bay
Ōmarupoto Bay
Ōmarutipi
Ōmawete / Coopers Knob
Ōmāwhero
Ōmiha
Ōmihi
Ōmoekau
Ōmōkau Bay
Ōmokoiti Bay
Ōmokoiti Flats
Ōmokoroa
Ōnahau
Ōnahau Bay
Ōnauku Bay
Onetāhua Rise
Ōngare
Ōngāwari
Ōnoke
Ōnoke Bank
Ōnuku
Ōpaheke
Ōpaki
Ōpakia
Ōparapara / Samson Bay
Ōpārara
Ōpārau
Ōpau Bay
Ōpāwaho
Ōpēhia
Ōpeketā Swamp
Ōpihi Bay
Ōpihu
Ōpōkihi
Ōpōrea
Ōpōreaiti
Ōpōtiki
Ōpōtiki Bay
Ōpōtiki-mai-tawhiti
Ōpou
Ōpouawe Bank
Ōpouawe Canyon
Ōpouwehe
Ōpua Bay
Ōpūaha
Ōpuku Cliff
Ōpukutahi
Ōpunake
Ōrae
Ōrahoriu
Ōraka
Ōrākau
Ōrākei
Ōrākei Basin
Ōraki
Ōrapa Rock
Ōrau
Ōraumoa
Ōraumoa / Fighting Bay
Ōrautahi
Ōrere
Ōreteiti Bay
Ōreti Bank
Ōrewha
Ōrokiroki
Ōroko
Ōrongo
Ōrongokoekoeā
Ōrongorongo
Ōroroa
Ōrua Bay
Ōruahine
Ōruarangi
Ōruaroa Bay
Ōruataua
Ōruawharo
Ōruawharo Bay
Ōruru
Ōtaao
Ōtaetae
Ōtahatekapua
Ōtahatekapua Kāinga
Ōtahuao
Ōtāhuhu
Ōtāhuhu / Mount Richmond
Ōtaia
Ōtaiātoa Bay
Ōtaipango / Henderson Bay
Ōtāiri
Ōtakanini
Ōtaki
Ōtaki Forks
Ōtākirikiri
Ōtākou
Ōtaku
Ōtamakapua
Ōtamakotinga
Ōtamakurua
Ōtamarākau
Ōtamarau
Ōtamatakou
Ōtamatea
Ōtāne
Ōtāneāniwa
Ōtānenui
Ōtānerau Bay
Ōtangimoana Bay
Ōtāpara
Ōtapokura
Ōtara
Ōtara Bay
Ōtaramarae Bay
Ōtarawao Bay
Ōtārewa
Ōtaua
Ōtau Crossing
Otauira Pā
Ōtaupiri
Ōtautahi
Ōtautū Bay
Ō-Tautū-i-te-Rangi
Ōtawhiwhi
Ōteake
Ōteauau
Ōteheke
Ōtehika
Ōtehoko
Ō-te-horua-a-Te-Puhituia
Ōtemataraha Wetland
Ōtepoti
Ōteraia
Ōteraumaka
Ōterāwhanga
Ōterei
Ōterokonui
Ōtewā
Ōtewao
Ōtewhakāriki
Ōtoatahi
Ōtokitoki / Gollans Bay
Ōtokotoko
Ōtorohanga
Ōtū
Ōtuauri
Ōtuawhiti
Otū Bay
Ōtūhawaiki
Ōtūherekio
Ōtūkōpiri
Ōtūmahana
Otūmaikuku
Ōtūmarokura Bay
Ōtūmatua
Otūmoetai
Otūmoetai Pā
Otūmūtū
Ōtūparāoa
Ōtūpōhatu
Ōtūpuahiri
Ōtūroto
Ōturu
Ōtūtohukai
Ōtūwharekai
Ōue
Ōueariu
Ōuewheki
Ōuruhia
Ōuruwera
Ōwairaka
Ōwhanake Bay
Ōwhango
Ōwhāriu
Ōwhata
Ōwhatiura Bay
Ōwhio
Ōwhiro
Ōwhiro Bay
Ōwhiti Bay
Ōwi
Paekākā
Paekākāpō
Paekākāriki
Paepae-o-Tū / Bream Tail
Paetūmōkai
Pāhaoa
Pāhaoa Canyon
Pāhautāne
Paikākaho
Pākā Bay
Pākaraka
Pākawau
Pākererū
Pākira Nunatak
Pākiri
Pākuku
Pākuratahi
Pākuratahi Forks
Pāmotumotu
Pangatōtara
Pānia Rock
Pānui-o-Hau
Pāpakanui Spit
Papakōwhai
Paparātā
Papatīeke
Papatōrea
Papatū
Papawhitu Pā
Pārae Karetu
Parakārehu
Paratītahi Tarns
Pāremoremo
Pārengarenga Canyons
Pārengarenga Pā
Pārera Pond
Parinuiterā
Paritū
Paritū Basin
Paritū Gap
Paritū Trough
Pātangata
Pātea
Pātea Banks
Pātea-nui-a-Turi
Pātearoa
Pātere
Pātiotio Gap
Pātituna
Patumāhoe
Patupō
Pātūtahi
Pāuakaiwawe / McLarens Bay
Pāuanui
Pāuareka
Pāuatahanui
Pēhiakura
Peketā
Pīkaroro
Pīkōau
Pīnohia
Pipītewai Bay
Pīrauau
Pīreka / Low Neck Bay
Piripāua
Piri-tūtae-putaputa
Pōhara
Pōhatu / Flea Bay
